Parameter,Fmax,beta,power,beta,power,beta,power,beta,power,beta,beta,power,beta,power,beta,power,beta
Control,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Variable,,pr_mean.nc,pr_mean.nc,tas_max.nc,tas_max.nc,Tree_cover_vcf.nc,Tree_cover_vcf.nc,vpd_mean.nc,vpd_mean.nc,beta0,Tree_cover_vcf.nc,Tree_cover_vcf.nc,Total_cover_vcf.nc,Total_cover_vcf.nc,cveg.nc,cveg.nc,beta0
9,29.151869331375142,-118.18065889666626,0.7763009112269006,42.90271483979532,1.2609744271896035,-0.9313404820685434,2.509430475169293,3.4856202117214217,0.3003629654271374,29.151869331375142,29.77073605724103,1.4400390388742392,34.843249505754144,0.41877256334988583,0.2329379543506953,0.6090623586416939,-0.1705440017526537
10,27.80846053232196,-116.19665163505299,1.223489635077818,42.22868717967569,0.8998084845855807,-0.6472300174760836,10.005993520465049,3.6543608139816426,0.3538703505438258,27.80846053232196,11.966818260926797,0.9023339977145932,79.35690133472575,0.21534730910386074,6.082737790118759,1.4624674937215358,1.29360096668677
11,27.360158188664446,-118.49266800212699,0.2584512474082083,43.81905583066205,0.5490901653665514,-0.7849370145777818,0.3940901428829016,3.2022678923745485,2.608718299338727,27.360158188664446,46.98396540097103,0.36840481952444937,32.162799791416646,2.9976629382349618,0.23355134899874128,0.8381080775853416,0.0018369651663680871
12,27.42025628629828,-119.02191669260405,0.8111197588227952,43.07251309903507,0.5866117464341581,-1.8835489470240945,0.19259901974725988,3.972228493628075,0.8397002116215544,27.42025628629828,23.943213932021376,0.6726022110374827,40.97035348518304,1.2404165164076466,3.1293849102933287,1.0496120161928808,-1.0357486973177197
13,30.866965945178332,-117.02584034276471,1.0907710378364204,40.89075810890665,0.7475857021695961,-0.4272835924206423,0.9777389080767735,4.938924738027957,1.4599583571136032,30.866965945178332,33.229381580762265,1.7743468562896738,33.69689659093681,0.5533508625722333,0.29375312713931007,1.2290233174366973,-0.5905127933855864
14,26.524162533550687,-116.8830567108511,1.8114560390783394,43.3764905712477,0.7999074727428556,-1.6717190558959136,0.6050931157017762,3.510701508602046,0.31320989397521215,26.524162533550687,37.67181793152961,0.2718380921638046,39.5196258909837,3.6922918415642583,2.737672634834127,0.844199798330348,0.6371803896891379
15,29.552097660622145,-120.64379998077317,1.414669183901182,43.14954764364994,0.40797487878081734,-1.1253899221886001,0.3989750907144357,3.5731333444596154,1.0782630263958253,29.552097660622145,20.715094651878456,0.2031401005444984,38.566289053070896,13.42481201503648,1.4469341886234612,0.13524970272311324,1.2456686308198432
16,29.809833937038974,-117.6291351606688,0.6141901039749251,42.94507758557898,1.6713792954921645,-0.5625294964640188,0.3841599712952548,3.484675774584657,0.5304199203595036,29.809833937038974,17.97082865706182,0.16606761138389492,48.121306453109675,9.455226576196496,1.0870411126378634,0.19222512744071968,0.7933222937440874
17,31.627343157703024,-111.73877463149609,0.9494135107537038,41.1597095772505,0.1951903226459283,-1.7168212736810766,2.9808014030143384,4.660237473576777,0.4143860886920915,31.627343157703024,17.372796599941733,7.152511669393917,55.734902257979634,0.9067530918270423,0.7199439857161878,3.666180050577152,-0.8612605531470573
18,30.937421041917567,-111.25095203782037,0.961812952370931,40.80200501431412,0.21626125805448584,-1.7085947127377366,3.2522851917890017,4.966552289644187,0.6391811153530075,30.937421041917567,18.736816375525876,9.423771249687539,48.33160741038041,0.8047671462323971,1.4074475877820034,4.596483043432074,-0.476022301751224
